date,symbol,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-31,APPLE,191.44,192.57,189.91,192.25,191.36,75158300,75158300,0.81,0.42311,191.5425,"May 31, 24",0.0042311
2024-06-03,APPLE,192.9,194.99,192.52,194.03,193.13,50080539,50080539,1.13,0.5858,193.61,"June 03, 24",0.005858
2024-06-04,APPLE,194.64,195.32,193.03,194.35,193.45,47471445,47471445,-0.285,-0.14899,194.335,"June 04, 24",-0.0014899
2024-06-05,APPLE,195.4,196.9,194.87,195.87,194.96,54156800,54156800,0.47,0.24053,195.76,"June 05, 24",0.0024053
2024-06-06,APPLE,195.69,196.5,194.17,194.48,193.57,41181800,41181800,-1.21,-0.61832,195.21,"June 06, 24",-0.0061832
2024-06-07,APPLE,194.65,196.94,194.14,196.89,195.97,53103912,53103912,2.24,1.15,195.655,"June 07, 24",0.0115
2024-06-10,APPLE,196.9,197.3,192.15,193.12,192.22,97262100,97262100,-3.78,-1.92,194.8675,"June 10, 24",-0.0192
2024-06-11,APPLE,193.65,207.16,193.63,207.15,206.19,172373300,172373300,13.5,6.97,200.3975,"June 11, 24",0.0697
2024-06-12,APPLE,207.37,220.2,206.9,213.07,212.08,198134300,198134300,5.7,2.75,211.885,"June 12, 24",0.0275
2024-06-13,APPLE,214.74,216.75,211.6,214.24,213.24,97862729,97862729,-0.5,-0.23284,214.3325,"June 13, 24",-0.0023284
2024-06-14,APPLE,213.85,215.17,211.3,212.49,211.5,70122748,70122748,-1.36,-0.63596,213.2025,"June 14, 24",-0.0063596
2024-06-17,APPLE,213.37,218.95,212.72,216.67,215.66,93728300,93728300,3.3,1.55,215.4275,"June 17, 24",0.0155
2024-06-18,APPLE,217.59,218.63,213.0,214.29,213.29,79943300,79943300,-3.3,-1.52,215.8775,"June 18, 24",-0.0152
2024-06-20,APPLE,213.93,214.24,208.85,209.68,208.7,86172500,86172500,-4.25,-1.99,211.675,"June 20, 24",-0.0199
2024-06-21,APPLE,210.39,211.89,207.11,207.49,206.52,246421400,246421400,-2.9,-1.38,209.22,"June 21, 24",-0.0138
2024-06-24,APPLE,207.72,212.7,206.59,208.14,207.17,80727006,80727006,0.42,0.2022,208.7875,"June 24, 24",0.002022
2024-06-25,APPLE,209.15,211.38,208.61,209.07,208.1,56713900,56713900,-0.08,-0.03825006,209.5525,"June 25, 24",-0.0003825006
2024-06-26,APPLE,211.5,214.86,210.64,213.25,212.26,66213200,66213200,1.75,0.82742,212.5625,"June 26, 24",0.0082742
2024-06-27,APPLE,214.69,215.74,212.35,214.1,213.1,49772707,49772707,-0.59,-0.27481,214.22,"June 27, 24",-0.0027481
2024-06-28,APPLE,215.77,216.07,210.3,210.62,209.64,82542718,82542718,-5.15,-2.39,213.19,"June 28, 24",-0.0239
2024-07-01,APPLE,212.09,217.51,211.92,216.75,215.74,60402929,60402929,4.66,2.2,214.5675,"July 01, 24",0.022
2024-07-02,APPLE,216.15,220.38,215.1,220.27,219.24,58046200,58046200,4.12,1.91,217.975,"July 02, 24",0.0191
2024-07-03,APPLE,220.0,221.55,219.03,221.55,220.52,37369801,37369801,1.55,0.70455,220.5325,"July 03, 24",0.0070455
2024-07-05,APPLE,221.65,226.45,221.65,226.34,225.29,60412408,60412408,4.69,2.12,224.0225,"July 05, 24",0.0212
2024-07-08,APPLE,227.09,227.85,223.25,227.82,226.76,59085900,59085900,0.73,0.32146,226.5025,"July 08, 24",0.0032146
2024-07-09,APPLE,227.93,229.4,226.37,228.68,227.62,48169822,48169822,0.75,0.32905,228.095,"July 09, 24",0.0032905
2024-07-10,APPLE,229.3,233.08,229.25,232.98,231.9,62627700,62627700,3.68,1.6,231.1525,"July 10, 24",0.016
2024-07-11,APPLE,231.39,232.39,225.77,227.57,226.51,64710617,64710617,-3.82,-1.65,229.28,"July 11, 24",-0.0165
2024-07-12,APPLE,228.92,232.64,228.68,230.54,229.47,53046527,53046527,1.62,0.70767,230.195,"July 12, 24",0.0070767
2024-07-15,APPLE,236.48,237.23,233.09,234.4,233.31,62631300,62631300,-2.08,-0.87957,235.3,"July 15, 24",-0.0087957
2024-07-16,APPLE,235.0,236.27,232.33,234.82,233.73,43234300,43234300,-0.18,-0.07659574,234.605,"July 16, 24",-0.0007659574
2024-07-17,APPLE,229.45,231.46,226.64,228.88,227.81,57345900,57345900,-0.57,-0.24842,229.1075,"July 17, 24",-0.0024842
2024-07-18,APPLE,230.28,230.44,222.27,224.18,223.14,66034600,66034600,-6.1,-2.65,226.7925,"July 18, 24",-0.0265
2024-07-19,APPLE,224.82,226.8,223.28,224.31,223.27,49151500,49151500,-0.51,-0.22685,224.8025,"July 19, 24",-0.0022685
2024-07-22,APPLE,227.01,227.78,223.09,223.96,222.92,48201835,48201835,-3.05,-1.34,225.46,"July 22, 24",-0.0134
2024-07-23,APPLE,224.37,226.94,222.68,225.01,223.96,39960300,39960300,0.645,0.28524,224.75,"July 23, 24",0.0028524
2024-07-24,APPLE,224.0,224.8,217.13,218.54,217.52,61777600,61777600,-5.46,-2.44,221.1175,"July 24, 24",-0.0244
2024-07-25,APPLE,218.93,220.85,214.62,217.49,216.48,51391200,51391200,-1.44,-0.65774,217.9725,"July 25, 24",-0.0065774
2024-07-26,APPLE,218.7,219.49,216.01,217.96,216.95,41601345,41601345,-0.74,-0.33836,218.04,"July 26, 24",-0.0033836
2024-07-29,APPLE,216.96,219.3,215.75,218.24,217.22,36311800,36311800,1.28,0.58997,217.5625,"July 29, 24",0.0058997
2024-07-30,APPLE,219.19,220.33,216.12,218.8,217.78,41643840,41643840,-0.39,-0.17793,218.61,"July 30, 24",-0.0017793
2024-07-31,APPLE,221.44,223.82,220.63,222.08,221.05,50036300,50036300,0.64,0.28902,221.9925,"July 31, 24",0.0028902
2024-08-01,APPLE,224.37,224.48,217.02,218.36,217.34,62501000,62501000,-6.01,-2.68,221.0575,"August 01, 24",-0.0268
2024-08-02,APPLE,219.15,225.6,217.71,219.86,218.84,105568600,105568600,0.71,0.32398,220.58,"August 02, 24",0.0032398
2024-08-05,APPLE,199.09,213.5,196.0,209.27,208.3,119548600,119548600,10.18,5.11,204.465,"August 05, 24",0.0511
2024-08-06,APPLE,205.3,209.99,201.07,207.23,206.27,69660500,69660500,1.93,0.94009,205.8975,"August 06, 24",0.0094009
2024-08-07,APPLE,206.9,213.64,206.39,209.82,208.84,63516417,63516417,2.92,1.41,209.1875,"August 07, 24",0.0141
2024-08-08,APPLE,213.11,214.2,208.83,213.31,212.32,47161149,47161149,0.2,0.09384825,212.3625,"August 08, 24",0.0009384825
2024-08-09,APPLE,212.1,216.78,211.97,216.24,215.23,42201646,42201646,4.14,1.95,214.2725,"August 09, 24",0.0195
2024-08-12,APPLE,216.07,219.51,215.6,217.53,216.77,38028100,38028100,1.46,0.67571,217.1775,"August 12, 24",0.0067571
2024-08-13,APPLE,219.01,221.89,219.01,221.27,220.49,44155331,44155331,2.26,1.03,220.295,"August 13, 24",0.0103
2024-08-14,APPLE,220.57,223.03,219.7,221.72,220.94,41960600,41960600,1.15,0.52138,221.255,"August 14, 24",0.0052138
2024-08-15,APPLE,224.6,225.35,222.76,224.72,223.93,46414013,46414013,0.12,0.05342832,224.3575,"August 15, 24",0.0005342832
2024-08-16,APPLE,223.92,226.83,223.65,226.05,225.26,44340240,44340240,2.13,0.95123,225.1125,"August 16, 24",0.0095123
2024-08-19,APPLE,225.72,225.99,223.04,225.89,225.1,40687813,40687813,0.17,0.07531455,225.16,"August 19, 24",0.0007531455
2024-08-20,APPLE,225.77,227.17,225.45,226.51,225.72,30299033,30299033,0.74,0.32777,226.225,"August 20, 24",0.0032777
2024-08-21,APPLE,226.52,227.98,225.05,226.4,225.61,34765500,34765500,-0.12,-0.05297545,226.4875,"August 21, 24",-0.0005297545
2024-08-22,APPLE,227.79,228.34,223.9,224.53,223.74,43695321,43695321,-3.26,-1.43,226.14,"August 22, 24",-0.0143
2024-08-23,APPLE,225.66,228.22,224.33,226.84,226.05,38677300,38677300,1.18,0.52291,226.2625,"August 23, 24",0.0052291
2024-08-26,APPLE,226.76,227.28,223.89,227.18,226.38,30602208,30602208,0.42,0.18522,226.2775,"August 26, 24",0.0018522
2024-08-27,APPLE,226.0,228.85,224.89,228.03,227.23,35934600,35934600,2.03,0.89823,226.9425,"August 27, 24",0.0089823
2024-08-28,APPLE,227.92,229.86,225.68,226.49,225.7,38052200,38052200,-1.43,-0.62741,227.4875,"August 28, 24",-0.0062741
2024-08-29,APPLE,230.1,232.92,228.88,229.79,228.99,51906300,51906300,-0.31,-0.13472,230.4225,"August 29, 24",-0.0013472
2024-08-30,APPLE,230.19,230.4,227.48,229.0,228.2,52990800,52990800,-1.19,-0.51696,229.2675,"August 30, 24",-0.0051696
2024-09-03,APPLE,228.55,229.0,221.17,222.77,221.99,50190600,50190600,-5.78,-2.53,225.3725,"September 03, 24",-0.0253
2024-09-04,APPLE,221.66,221.78,217.48,220.85,220.08,43840200,43840200,-0.81,-0.36542,220.4425,"September 04, 24",-0.0036542
2024-09-05,APPLE,221.63,225.48,221.52,222.38,221.6,36615400,36615400,0.755,0.3384,222.7525,"September 05, 24",0.003384
2024-09-06,APPLE,223.95,225.24,219.77,220.82,220.05,48423011,48423011,-3.13,-1.4,222.445,"September 06, 24",-0.014
2024-09-09,APPLE,220.82,221.27,216.71,220.91,220.14,67180000,67180000,0.09,0.04075718,219.9275,"September 09, 24",0.0004075718
2024-09-10,APPLE,218.92,221.48,216.73,220.11,219.34,51591033,51591033,1.19,0.54358,219.31,"September 10, 24",0.0054358
2024-09-11,APPLE,221.46,223.09,217.89,222.66,221.88,44587100,44587100,1.2,0.54186,221.275,"September 11, 24",0.0054186
2024-09-12,APPLE,222.5,223.55,219.82,222.77,221.99,37498225,37498225,0.27,0.12135,222.16,"September 12, 24",0.0012135
2024-09-13,APPLE,223.58,224.04,221.91,222.5,221.72,36766619,36766619,-1.08,-0.48305,223.0075,"September 13, 24",-0.0048305
2024-09-16,APPLE,216.54,217.22,213.92,216.32,215.56,59357427,59357427,-0.22,-0.1016,216.0,"September 16, 24",-0.001016
2024-09-17,APPLE,215.75,216.9,214.5,216.79,216.03,45519339,45519339,1.04,0.48204,215.985,"September 17, 24",0.0048204
2024-09-18,APPLE,217.55,222.71,217.54,220.69,219.92,59894928,59894928,3.14,1.44,219.6225,"September 18, 24",0.0144
2024-09-19,APPLE,224.99,229.82,224.63,228.87,228.07,66781315,66781315,3.88,1.72,227.0775,"September 19, 24",0.0172
2024-09-20,APPLE,229.97,233.09,227.62,228.2,227.4,318679900,318679900,-1.77,-0.76967,229.72,"September 20, 24",-0.0076967
2024-09-23,APPLE,227.34,229.45,225.81,226.47,225.68,54146023,54146023,-0.87,-0.38269,227.2675,"September 23, 24",-0.0038269
2024-09-24,APPLE,228.65,229.35,225.73,227.37,226.57,43556100,43556100,-1.28,-0.55981,227.775,"September 24, 24",-0.0055981
